isogroup gene annotation,
TRINITY_DN3926_c0_g1,"ADP-ribose pyrophosphatase, mitochondrial OS=Rattus norvegicus GN=Nudt9 PE=2 SV=1 E(blastx)=1e-32"
TRINITY_DN25920_c0_g2,60S ribosomal protein L19 OS=Xenopus laevis GN=rpl19 PE=2 SV=1 E(blastx)=6e-08
TRINITY_DN5103_c0_g1,40S ribosomal protein S9 OS=Drosophila yakuba GN=RpS9 PE=2 SV=1 E(blastx)=2e-26
TRINITY_DN8860_c0_g1,Ras-related protein Rab-35 OS=Rattus norvegicus GN=Rab35 PE=1 SV=1 E(blastx)=3e-22
TRINITY_DN34261_c0_g1,"Myosin heavy chain, striated muscle OS=Argopecten irradians PE=1 SV=1 E(blastx)=6e-16"
TRINITY_DN11900_c0_g1,Coiled-coil domain-containing protein 146 OS=Homo sapiens GN=CCDC146 PE=1 SV=2 E(blastx)=1e-12
TRINITY_DN31709_c0_g1,Translin-associated protein X OS=Pongo abelii GN=TSNAX PE=2 SV=1 E(blastx)=1e-08
TRINITY_DN39980_c0_g1,CUB and sushi domain-containing protein 1 OS=Homo sapiens GN=CSMD1 PE=1 SV=2 E(blastx)=4e-08
TRINITY_DN30922_c0_g1,Regulation of nuclear pre-mRNA domain-containing protein 1B OS=Mus musculus GN=Rprd1b PE=1 SV=2 E(blastx)=2e-53
TRINITY_DN39894_c0_g1,40S ribosomal protein S8 OS=Ictalurus punctatus GN=rps8 PE=2 SV=3 E(blastx)=2e-20
TRINITY_DN28517_c0_g1,Nascent polypeptide-associated complex subunit alpha OS=Pongo abelii GN=NACA PE=2 SV=1 E(blastx)=5e-40
TRINITY_DN27223_c0_g1,Non-specific lipid-transfer protein OS=Bos taurus GN=SCP2 PE=1 SV=2 E(blastx)=1e-21
TRINITY_DN21159_c0_g1,IST1 homolog OS=Mus musculus GN=Ist1 PE=1 SV=1 E(blastx)=7e-12
TRINITY_DN38224_c0_g1,Cat eye syndrome critical region protein 2 OS=Homo sapiens GN=CECR2 PE=1 SV=2 E(blastx)=3e-20
TRINITY_DN9825_c0_g1,Calexcitin-2 OS=Caenorhabditis elegans GN=cex-2 PE=2 SV=3 E(blastx)=4e-08
TRINITY_DN37279_c0_g1,V-type proton ATPase catalytic subunit A OS=Beta vulgaris PE=2 SV=1 E(blastx)=4e-07
TRINITY_DN24365_c0_g1,NADH-ubiquinone oxidoreductase chain 2 OS=Drosophila yakuba GN=mt:ND2 PE=3 SV=1 E(blastx)=3e-07
TRINITY_DN26017_c0_g1,Adenosylhomocysteinase OS=Caenorhabditis elegans GN=ahcy-1 PE=3 SV=1 E(blastx)=2e-11
TRINITY_DN4342_c0_g1,Pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16 OS=Bos taurus GN=DHX38 PE=2 SV=1 E(blastx)=3e-09
TRINITY_DN26978_c0_g1,6-phosphogluconolactonase OS=Bos taurus GN=PGLS PE=2 SV=1 E(blastx)=4e-08
TRINITY_DN4096_c0_g1,Histone-lysine N-methyltransferase SETD1B-A OS=Danio rerio GN=setd1ba PE=1 SV=2 E(blastx)=4e-07
TRINITY_DN22597_c0_g1,Phosphonoacetaldehyde hydrolase OS=Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 700721 / MGH 78578) GN=phnX PE=3 SV=1 E(blastx)=4e-11
TRINITY_DN24561_c0_g1,Probable RNA-directed DNA polymerase from transposon X-element OS=Drosophila melanogaster GN=X-element\ORF2 PE=3 SV=1 E(blastx)=3e-05
TRINITY_DN19607_c0_g1,Ankyrin repeat and EF-hand domain-containing protein 1 OS=Mus musculus GN=Ankef1 PE=2 SV=1 E(blastx)=4e-17
TRINITY_DN33055_c0_g1,SEC23-interacting protein OS=Mus musculus GN=Sec23ip PE=1 SV=2 E(blastx)=1e-08
TRINITY_DN10931_c0_g1,RILP-like protein homolog OS=Drosophila melanogaster GN=CG11448 PE=2 SV=1 E(blastx)=2e-32
TRINITY_DN38700_c0_g1,Zinc transporter Slc39a7 (Fragment) OS=Danio rerio GN=slc39a7 PE=2 SV=1 E(blastx)=2e-07
TRINITY_DN18562_c0_g1,Coiled-coil domain-containing protein 86 OS=Mus musculus GN=Ccdc86 PE=1 SV=2 E(blastx)=8e-05
TRINITY_DN23971_c0_g1,Bromodomain-containing protein 8 OS=Mus musculus GN=Brd8 PE=1 SV=2 E(blastx)=5e-42
TRINITY_DN21990_c0_g1,Eukaryotic translation initiation factor 3 subunit I OS=Drosophila grimshawi GN=Trip1 PE=3 SV=1 E(blastx)=3e-26
TRINITY_DN16319_c0_g1,Mitochondrial import inner membrane translocase subunit Tim16 OS=Drosophila melanogaster GN=blp PE=2 SV=1 E(blastx)=4e-26
TRINITY_DN1092_c0_g1,"Probable 39S ribosomal protein L45, mitochondrial OS=Drosophila melanogaster GN=mRpL45 PE=2 SV=1 E(blastx)=2e-50"
TRINITY_DN31857_c0_g1,YLP motif-containing protein 1 OS=Rattus norvegicus GN=Ylpm1 PE=1 SV=1 E(blastx)=1e-43
TRINITY_DN6049_c0_g1,Carbonic anhydrase 12 OS=Oryctolagus cuniculus GN=CA12 PE=2 SV=2 E(blastx)=2e-17
TRINITY_DN25755_c0_g1,Sodium/potassium-transporting ATPase subunit alpha-1 OS=Rhinella marina GN=ATP1A1 PE=1 SV=2 E(blastx)=2e-48
TRINITY_DN7282_c0_g1,Putative RNA-binding protein 15 OS=Homo sapiens GN=RBM15 PE=1 SV=2 E(blastx)=3e-08
TRINITY_DN34978_c0_g1,E3 ubiquitin-protein ligase HUWE1 OS=Homo sapiens GN=HUWE1 PE=1 SV=3 E(blastx)=6e-10
TRINITY_DN34225_c0_g1,Protein CASC1 OS=Macaca fascicularis GN=CASC1 PE=2 SV=1 E(blastx)=3e-26
TRINITY_DN27096_c0_g1,Putative malate dehydrogenase 1B OS=Branchiostoma floridae GN=MDH1B PE=3 SV=1 E(blastx)=9e-23
TRINITY_DN31089_c0_g1,DnaJ homolog subfamily C member 2 OS=Rattus norvegicus GN=Dnajc2 PE=1 SV=1 E(blastx)=8e-42
TRINITY_DN35382_c0_g1,Protein phosphatase 1 regulatory subunit 12A OS=Danio rerio GN=ppp1r12a PE=2 SV=2 E(blastx)=1e-13
TRINITY_DN37593_c0_g1,Paramyosin (Fragment) OS=Opisthorchis felineus PE=2 SV=1 E(blastx)=6e-22
TRINITY_DN29498_c0_g1,60S ribosomal protein L28-2 OS=Arabidopsis thaliana GN=RPL28C PE=2 SV=1 E(blastx)=2e-06
TRINITY_DN34764_c0_g1,Transitional endoplasmic reticulum ATPase TER94 OS=Drosophila melanogaster GN=TER94 PE=1 SV=1 E(blastx)=6e-46
TRINITY_DN29419_c0_g1,Chromodomain-helicase-DNA-binding protein 5 OS=Homo sapiens GN=CHD5 PE=1 SV=1 E(blastx)=1e-27
TRINITY_DN16372_c0_g1,Transcription factor BTF3 homolog 4 OS=Xenopus tropicalis GN=btf3l4 PE=2 SV=1 E(blastx)=3e-18
TRINITY_DN22014_c0_g1,Probable ATP-dependent RNA helicase DDX49 OS=Mus musculus GN=Ddx49 PE=2 SV=1 E(blastx)=4e-42
TRINITY_DN24639_c0_g1,RNA-binding protein pno1 OS=Drosophila melanogaster GN=l(1)G0004 PE=2 SV=1 E(blastx)=9e-29
TRINITY_DN3097_c0_g1,Probable RNA-directed DNA polymerase from transposon BS OS=Drosophila melanogaster GN=RTase PE=2 SV=1 E(blastx)=4e-08
TRINITY_DN26630_c0_g1,cAMP-dependent protein kinase catalytic subunit beta OS=Rattus norvegicus GN=Prkacb PE=1 SV=2 E(blastx)=1e-28
TRINITY_DN8066_c0_g1,Glucose-6-phosphate 1-dehydrogenase 2 OS=Mus musculus GN=G6pd2 PE=1 SV=3 E(blastx)=1e-21
TRINITY_DN14708_c0_g1,60S ribosomal protein L4 OS=Urechis caupo GN=RPL4 PE=2 SV=1 E(blastx)=8e-33
TRINITY_DN11733_c0_g1,"Cytochrome b-c1 complex subunit Rieske, mitochondrial OS=Zea mays PE=2 SV=1 E(blastx)=6e-30"
TRINITY_DN34796_c0_g1,Radial spoke head protein 4 homolog A OS=Homo sapiens GN=RSPH4A PE=1 SV=1 E(blastx)=8e-39
TRINITY_DN35782_c0_g1,RING finger protein 157 OS=Homo sapiens GN=RNF157 PE=1 SV=3 E(blastx)=2e-38
TRINITY_DN6938_c0_g1,Rho-associated protein kinase 1 OS=Rattus norvegicus GN=Rock1 PE=1 SV=1 E(blastx)=3e-12
TRINITY_DN4767_c0_g1,HIV Tat-specific factor 1 homolog OS=Pongo abelii GN=HTATSF1 PE=2 SV=1 E(blastx)=6e-35
TRINITY_DN25747_c0_g1,Transcriptional regulator ATRX OS=Homo sapiens GN=ATRX PE=1 SV=5 E(blastx)=2e-12
TRINITY_DN20644_c0_g1,Proprotein convertase subtilisin/kexin type 6 OS=Rattus norvegicus GN=Pcsk6 PE=1 SV=1 E(blastx)=1e-12
TRINITY_DN28883_c0_g1,72 kDa inositol polyphosphate 5-phosphatase OS=Pan troglodytes GN=INPP5E PE=2 SV=1 E(blastx)=1e-22
TRINITY_DN34017_c0_g1,Calmodulin-like protein 5 OS=Homo sapiens GN=CALML5 PE=1 SV=2 E(blastx)=4e-13
TRINITY_DN33427_c0_g1,Vigilin OS=Homo sapiens GN=HDLBP PE=1 SV=2 E(blastx)=5e-34
TRINITY_DN30576_c0_g1,Zinc transporter ZIP10 OS=Mus musculus GN=Slc39a10 PE=1 SV=1 E(blastx)=5e-07
TRINITY_DN19403_c0_g1,"3-hydroxyisobutyryl-CoA hydrolase, mitochondrial OS=Gallus gallus GN=HIBCH PE=2 SV=1 E(blastx)=3e-34"
TRINITY_DN32919_c0_g1,Coiled-coil domain-containing protein 25 OS=Xenopus tropicalis GN=ccdc25 PE=2 SV=1 E(blastx)=8e-18
TRINITY_DN27304_c0_g1,Tudor domain-containing protein 5 OS=Xenopus laevis GN=tdrd5 PE=2 SV=1 E(blastx)=7e-11
TRINITY_DN39467_c0_g1,Uridylate kinase OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) GN=SPCC1795.05c PE=3 SV=1 E(blastx)=2e-05
TRINITY_DN39879_c0_g1,Carbonic anhydrase 9 OS=Mus musculus GN=Ca9 PE=2 SV=2 E(blastx)=4e-12
TRINITY_DN34954_c0_g1,Choline transporter-like protein 4 OS=Xenopus laevis GN=slc44a4 PE=2 SV=1 E(blastx)=7e-29
TRINITY_DN34480_c0_g1,Cytochrome c oxidase subunit NDUFA4 OS=Mus musculus GN=Ndufa4 PE=1 SV=2 E(blastx)=1e-10
TRINITY_DN9739_c0_g1,Muscle LIM protein 1 OS=Drosophila melanogaster GN=Mlp60A PE=2 SV=1 E(blastx)=3e-24
TRINITY_DN30649_c0_g1,Importin subunit beta OS=Xenopus laevis GN=kpnb1 PE=1 SV=3 E(blastx)=1e-25
TRINITY_DN35241_c0_g1,Nipped-B-like protein OS=Mus musculus GN=Nipbl PE=1 SV=1 E(blastx)=1e-23
TRINITY_DN12583_c0_g1,Zinc finger protein 318 OS=Homo sapiens GN=ZNF318 PE=1 SV=2 E(blastx)=8e-21
TRINITY_DN28131_c0_g1,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit OS=Xenopus tropicalis GN=ddost PE=2 SV=1 E(blastx)=4e-29
TRINITY_DN16593_c0_g1,"Iron-sulfur cluster assembly 2 homolog, mitochondrial OS=Homo sapiens GN=ISCA2 PE=1 SV=2 E(blastx)=1e-36"
TRINITY_DN29616_c0_g1,Serine/threonine-protein kinase Nek4 OS=Arabidopsis thaliana GN=NEK4 PE=2 SV=1 E(blastx)=3e-06
TRINITY_DN15704_c0_g1,Pre-mRNA-splicing factor SPF27 OS=Xenopus tropicalis GN=bcas2 PE=2 SV=1 E(blastx)=7e-54
TRINITY_DN27754_c0_g1,Metastasis-associated protein MTA3 OS=Mus musculus GN=Mta3 PE=1 SV=1 E(blastx)=2e-30
TRINITY_DN7009_c0_g1,von Willebrand factor D and EGF domain-containing protein OS=Mus musculus GN=Vwde PE=2 SV=2 E(blastx)=5e-13
TRINITY_DN22047_c0_g1,Beta-amyloid-like protein OS=Drosophila melanogaster GN=Appl PE=1 SV=2 E(blastx)=5e-06
TRINITY_DN8504_c0_g1,Calpain clp-1 OS=Caenorhabditis elegans GN=clp-1 PE=3 SV=4 E(blastx)=6e-07
TRINITY_DN39034_c0_g1,Inosine triphosphate pyrophosphatase OS=Oryza sativa subsp. indica GN=OsI_33887 PE=3 SV=1 E(blastx)=9e-17
TRINITY_DN3274_c0_g1,40S ribosomal protein S3-A OS=Xenopus laevis GN=rps3-a PE=2 SV=2 E(blastx)=8e-07
TRINITY_DN35860_c0_g1,Cytochrome c OS=Alligator mississippiensis PE=1 SV=2 E(blastx)=4e-59
TRINITY_DN37584_c0_g1,Retrovirus-related Pol polyprotein from type-1 retrotransposable element R2 (Fragment) OS=Popillia japonica PE=3 SV=1 E(blastx)=5e-06
TRINITY_DN34152_c0_g1,Putative ankyrin repeat protein FPV246 OS=Fowlpox virus (strain NVSL) GN=FPV246 PE=4 SV=1 E(blastx)=7e-06
TRINITY_DN5810_c0_g1,Potassium voltage-gated channel subfamily H member 8 OS=Homo sapiens GN=KCNH8 PE=2 SV=2 E(blastx)=3e-13
TRINITY_DN15004_c0_g1,60S ribosomal protein L8 OS=Drosophila melanogaster GN=RpL8 PE=1 SV=1 E(blastx)=2e-47
TRINITY_DN32462_c0_g1,Protein SOX-19 (Fragment) OS=Mus musculus GN=Sox19 PE=2 SV=1 E(blastx)=4e-10
TRINITY_DN35217_c0_g1,IQ motif-containing protein H OS=Danio rerio GN=iqch PE=4 SV=1 E(blastx)=5e-30
TRINITY_DN36138_c0_g1,Protein arginine N-methyltransferase 5 OS=Macaca fascicularis GN=PRMT5 PE=2 SV=3 E(blastx)=7e-16
TRINITY_DN26120_c0_g1,"Succinyl-CoA:3-ketoacid coenzyme A transferase 1, mitochondrial OS=Rattus norvegicus GN=Oxct1 PE=1 SV=1 E(blastx)=2e-46"
TRINITY_DN35248_c0_g1,PDZ domain-containing RING finger protein 4 OS=Homo sapiens GN=PDZRN4 PE=2 SV=3 E(blastx)=3e-33
TRINITY_DN9732_c0_g1,Protein ENHANCED DISEASE RESISTANCE 2-like OS=Arabidopsis thaliana GN=EDR2L PE=2 SV=1 E(blastx)=2e-08
TRINITY_DN20971_c0_g1,Zinc finger protein 830 OS=Mus musculus GN=Znf830 PE=1 SV=1 E(blastx)=1e-14
TRINITY_DN6586_c0_g1,Transcription factor BTF3 homolog 4 OS=Xenopus tropicalis GN=btf3l4 PE=2 SV=1 E(blastx)=2e-59
TRINITY_DN23572_c0_g1,"Zinc finger protein 64 homolog, isoforms 1 and 2 OS=Homo sapiens GN=ZFP64 PE=1 SV=3 E(blastx)=3e-13"
TRINITY_DN28372_c0_g1,Proteasome subunit alpha type-7 OS=Carassius auratus GN=psma7 PE=2 SV=1 E(blastx)=8e-91
TRINITY_DN33116_c0_g1,40S ribosomal protein S3a OS=Aplysia californica GN=RPS3A PE=3 SV=2 E(blastx)=3e-52
TRINITY_DN966_c0_g1,"ATPase inhibitor mai-2, mitochondrial OS=Caenorhabditis briggsae GN=mai-2 PE=3 SV=1 E(blastx)=1e-08"
TRINITY_DN22796_c0_g1,TAR DNA-binding protein 43 OS=Pongo abelii GN=TARDBP PE=2 SV=1 E(blastx)=1e-19
TRINITY_DN35256_c0_g1,Protein henna OS=Drosophila melanogaster GN=Hn PE=2 SV=3 E(blastx)=9e-21
TRINITY_DN30941_c0_g1,Cell division cycle and apoptosis regulator protein 1 OS=Homo sapiens GN=CCAR1 PE=1 SV=2 E(blastx)=4e-57
TRINITY_DN36686_c0_g1,Progesterone-induced-blocking factor 1 OS=Homo sapiens GN=PIBF1 PE=1 SV=2 E(blastx)=8e-34
TRINITY_DN23385_c0_g1,STIP1 homology and U box-containing protein 1 OS=Gallus gallus GN=STUB1 PE=2 SV=1 E(blastx)=5e-17
TRINITY_DN7874_c0_g1,Heat shock cognate 70 kDa protein OS=Oncorhynchus mykiss GN=hsc71 PE=2 SV=2 E(blastx)=1e-47
TRINITY_DN16552_c0_g1,Nose resistant to fluoxetine protein 6 OS=Caenorhabditis elegans GN=nrf-6 PE=1 SV=3 E(blastx)=9e-11
TRINITY_DN39097_c0_g1,Nuclear receptor coactivator 5 OS=Homo sapiens GN=NCOA5 PE=1 SV=2 E(blastx)=2e-06
TRINITY_DN35962_c0_g1,V-type proton ATPase subunit D OS=Pongo abelii GN=ATP6V1D PE=2 SV=1 E(blastx)=1e-59
TRINITY_DN11076_c0_g1,TBC1 domain family member 2B OS=Xenopus tropicalis GN=tbc1d2b PE=2 SV=1 E(blastx)=8e-09
TRINITY_DN26269_c0_g1,Glutathione S-transferase omega-2 OS=Rattus norvegicus GN=Gsto2 PE=2 SV=1 E(blastx)=1e-08
TRINITY_DN28320_c0_g1,Calcium homeostasis endoplasmic reticulum protein OS=Mus musculus GN=Cherp PE=1 SV=1 E(blastx)=8e-07
TRINITY_DN19266_c0_g1,Clavesin-2 OS=Macaca fascicularis GN=CLVS2 PE=2 SV=2 E(blastx)=1e-11
TRINITY_DN2367_c0_g1,Lipoxygenase homology domain-containing protein 1 OS=Mus musculus GN=Loxhd1 PE=2 SV=1 E(blastx)=1e-19
TRINITY_DN34750_c0_g1,"ATP synthase epsilon chain, chloroplastic OS=Emiliania huxleyi GN=atpE PE=3 SV=1 E(blastx)=4e-44"
TRINITY_DN32128_c0_g1,Actin (Fragment) OS=Crassostrea virginica PE=2 SV=1 E(blastx)=1e-43
TRINITY_DN2792_c0_g1,Cat eye syndrome critical region protein 2 OS=Homo sapiens GN=CECR2 PE=1 SV=2 E(blastx)=5e-29
TRINITY_DN28584_c0_g1,Tektin-1 OS=Mus musculus GN=Tekt1 PE=1 SV=1 E(blastx)=9e-17
TRINITY_DN19728_c0_g1,Annexin A5 OS=Macaca fascicularis GN=ANXA5 PE=2 SV=3 E(blastx)=1e-35
TRINITY_DN14702_c0_g1,Protein phosphatase 1 regulatory subunit 14B OS=Rattus norvegicus GN=Ppp1r14b PE=2 SV=1 E(blastx)=7e-05
TRINITY_DN25133_c0_g1,"Myosin heavy chain, striated muscle OS=Argopecten irradians PE=1 SV=1 E(blastx)=1e-82"
TRINITY_DN16463_c0_g1,"39S ribosomal protein L55, mitochondrial OS=Drosophila melanogaster GN=mRpL55 PE=1 SV=1 E(blastx)=2e-14"
TRINITY_DN4835_c0_g1,La protein homolog OS=Aedes albopictus PE=1 SV=1 E(blastx)=2e-23
TRINITY_DN20659_c0_g1,Catalase OS=Homo sapiens GN=CAT PE=1 SV=3 E(blastx)=1e-09
TRINITY_DN22173_c0_g1,LINE-1 retrotransposable element ORF2 protein OS=Mus musculus GN=Pol PE=1 SV=2 E(blastx)=4e-07
TRINITY_DN34333_c0_g1,Guanine nucleotide-binding protein G(s) subunit alpha OS=Lymnaea stagnalis PE=2 SV=1 E(blastx)=9e-32
TRINITY_DN36302_c0_g1,Ubiquitin-conjugating enzyme E2 S OS=Drosophila grimshawi GN=GH12079 PE=3 SV=1 E(blastx)=1e-39
TRINITY_DN16166_c0_g1,"Actin, muscle (Fragment) OS=Lytechinus pictus PE=3 SV=1 E(blastx)=3e-20"
TRINITY_DN22810_c0_g1,Ubiquitin-40S ribosomal protein S27a OS=Gallus gallus GN=RPS27A PE=2 SV=3 E(blastx)=2e-24
TRINITY_DN36853_c0_g1,Elongation factor 2 OS=Caenorhabditis elegans GN=eef-2 PE=2 SV=4 E(blastx)=8e-50
TRINITY_DN3609_c0_g1,Peptidyl-prolyl cis-trans isomerase-like 1 OS=Homo sapiens GN=PPIL1 PE=1 SV=1 E(blastx)=3e-27
TRINITY_DN27482_c0_g1,Rab GTPase-binding effector protein 1 OS=Homo sapiens GN=RABEP1 PE=1 SV=2 E(blastx)=1e-06
TRINITY_DN10179_c0_g1,Pancreatic lipase-related protein 2 OS=Homo sapiens GN=PNLIPRP2 PE=1 SV=1 E(blastx)=3e-10
TRINITY_DN19199_c0_g1,Myomodulin neuropeptides 1 OS=Aplysia californica GN=MYOMOD1 PE=1 SV=2 E(blastx)=4e-05
TRINITY_DN37164_c0_g1,"Dynein assembly factor 1, axonemal OS=Homo sapiens GN=DNAAF1 PE=1 SV=5 E(blastx)=8e-48"
TRINITY_DN12931_c0_g1,Protogenin OS=Gallus gallus GN=PRTG PE=2 SV=1 E(blastx)=4e-06
TRINITY_DN24317_c0_g1,Protein flightless-1 OS=Drosophila melanogaster GN=fliI PE=2 SV=1 E(blastx)=1e-33
TRINITY_DN37880_c0_g1,"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 5, mitochondrial OS=Pan troglodytes GN=NDUFB5 PE=2 SV=1 E(blastx)=9e-13"
TRINITY_DN39322_c0_g1,Annexin A4 OS=Mus musculus GN=Anxa4 PE=1 SV=4 E(blastx)=4e-17
TRINITY_DN28081_c0_g1,ATP-binding cassette sub-family F member 2 OS=Homo sapiens GN=ABCF2 PE=1 SV=2 E(blastx)=2e-25
TRINITY_DN22168_c0_g1,40S ribosomal protein S9 OS=Drosophila yakuba GN=RpS9 PE=2 SV=1 E(blastx)=8e-22
TRINITY_DN37386_c0_g1,Dynactin subunit 4 OS=Rattus norvegicus GN=Dctn4 PE=1 SV=1 E(blastx)=4e-45
TRINITY_DN19261_c0_g1,pre-rRNA processing protein FTSJ3 OS=Mus musculus GN=Ftsj3 PE=1 SV=1 E(blastx)=7e-10
TRINITY_DN3216_c0_g1,Nucleosome assembly protein 1-like 1 OS=Rattus norvegicus GN=Nap1l1 PE=1 SV=1 E(blastx)=4e-38
TRINITY_DN7218_c0_g1,LINE-1 retrotransposable element ORF2 protein OS=Homo sapiens PE=1 SV=1 E(blastx)=2e-09
TRINITY_DN37052_c0_g1,Coiled-coil domain-containing protein 42 homolog OS=Nematostella vectensis GN=v1g187067 PE=3 SV=1 E(blastx)=1e-15
TRINITY_DN22491_c0_g1,Cullin-1 OS=Pongo abelii GN=CUL1 PE=2 SV=1 E(blastx)=1e-43
TRINITY_DN39666_c0_g1,Selenoprotein W OS=Danio rerio GN=selenow PE=3 SV=3 E(blastx)=8e-12
TRINITY_DN10138_c0_g1,Serine/threonine-protein kinase WNK1 OS=Homo sapiens GN=WNK1 PE=1 SV=2 E(blastx)=1e-17
TRINITY_DN33918_c0_g1,Transcription elongation regulator 1 OS=Mus musculus GN=Tcerg1 PE=1 SV=2 E(blastx)=2e-05
TRINITY_DN7956_c0_g1,Formin-binding protein 1-like OS=Xenopus laevis GN=fnbp1l PE=1 SV=1 E(blastx)=6e-07
TRINITY_DN33004_c0_g1,eIF-2-alpha kinase GCN2 OS=Mus musculus GN=Eif2ak4 PE=1 SV=2 E(blastx)=7e-06
TRINITY_DN29540_c0_g1,Y-box factor homolog OS=Aplysia californica PE=2 SV=1 E(blastx)=5e-30
TRINITY_DN21314_c0_g1,NEDD8 OS=Oryctolagus cuniculus GN=NEDD8 PE=3 SV=1 E(blastx)=1e-32
TRINITY_DN24982_c0_g1,Coiled-coil domain-containing protein 151 OS=Mus musculus GN=Ccdc151 PE=2 SV=1 E(blastx)=3e-09
TRINITY_DN18050_c0_g1,Cdc42 homolog OS=Drosophila pseudoobscura pseudoobscura GN=Cdc42 PE=3 SV=1 E(blastx)=5e-74
TRINITY_DN39514_c0_g1,C-type lectin lectoxin-Lei1 OS=Leioheterodon madagascariensis PE=2 SV=1 E(blastx)=1e-08
TRINITY_DN31161_c0_g1,Buccalin OS=Aplysia californica PE=1 SV=2 E(blastx)=8e-10
TRINITY_DN28661_c0_g1,AP-2 complex subunit sigma OS=Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139) GN=aps2 PE=3 SV=1 E(blastx)=2e-05
TRINITY_DN14841_c0_g1,DNA-dependent protein kinase catalytic subunit OS=Mus musculus GN=Prkdc PE=1 SV=3 E(blastx)=7e-09
TRINITY_DN20342_c0_g1,"Cytochrome c1, heme protein, mitochondrial OS=Bos taurus GN=CYC1 PE=1 SV=2 E(blastx)=5e-54"
TRINITY_DN6107_c0_g1,50S ribosomal protein L35 OS=Mycoplasma agalactiae (strain PG2) GN=rpmI PE=3 SV=1 E(blastx)=3e-27
TRINITY_DN18279_c0_g1,60S ribosomal protein L12 OS=Caenorhabditis elegans GN=rpl-12 PE=3 SV=1 E(blastx)=2e-27
TRINITY_DN29225_c0_g1,Probable glutathione S-transferase 5 OS=Caenorhabditis elegans GN=gst-5 PE=1 SV=1 E(blastx)=3e-12
TRINITY_DN26502_c0_g1,Zinc finger protein 830 OS=Mus musculus GN=Znf830 PE=1 SV=1 E(blastx)=1e-17
TRINITY_DN21868_c0_g1,Structural maintenance of chromosomes protein 3 OS=Mus musculus GN=Smc3 PE=1 SV=2 E(blastx)=6e-35
TRINITY_DN32980_c0_g1,Phosducin-like protein 3 OS=Rattus norvegicus GN=Pdcl3 PE=1 SV=1 E(blastx)=1e-31
TRINITY_DN30942_c0_g1,Transforming acidic coiled-coil-containing protein 1 OS=Mus musculus GN=Tacc1 PE=1 SV=1 E(blastx)=3e-06
TRINITY_DN3817_c0_g1,Signal transducer and activator of transcription 5B OS=Mus musculus GN=Stat5b PE=1 SV=1 E(blastx)=3e-16
TRINITY_DN22908_c0_g1,SCAN domain-containing protein 3 OS=Homo sapiens GN=ZBED9 PE=2 SV=1 E(blastx)=4e-08
TRINITY_DN10426_c0_g1,Exosome complex component CSL4 OS=Mus musculus GN=Exosc1 PE=1 SV=1 E(blastx)=4e-57
TRINITY_DN35106_c0_g1,Nuclear cap-binding protein subunit 3 OS=Xenopus laevis GN=ncbp3 PE=2 SV=1 E(blastx)=1e-09
TRINITY_DN29069_c0_g1,KRR1 small subunit processome component homolog OS=Homo sapiens GN=KRR1 PE=1 SV=4 E(blastx)=1e-22
TRINITY_DN11163_c0_g1,Golgi resident protein GCP60 OS=Homo sapiens GN=ACBD3 PE=1 SV=4 E(blastx)=8e-40
TRINITY_DN36319_c0_g1,Forkhead-associated domain-containing protein 1 OS=Homo sapiens GN=FHAD1 PE=2 SV=2 E(blastx)=2e-07
TRINITY_DN39794_c0_g1,Protein DPCD OS=Xenopus tropicalis GN=dpcd PE=2 SV=1 E(blastx)=7e-32
TRINITY_DN28715_c0_g1,FH1/FH2 domain-containing protein 3 OS=Homo sapiens GN=FHOD3 PE=1 SV=2 E(blastx)=6e-26
TRINITY_DN35366_c0_g1,Phosphatase and actin regulator 1 OS=Gallus gallus GN=PHACTR1 PE=2 SV=1 E(blastx)=2e-21
TRINITY_DN329_c0_g1,26S protease regulatory subunit 4 OS=Rattus norvegicus GN=Psmc1 PE=2 SV=1 E(blastx)=4e-05
TRINITY_DN20592_c0_g1,Ribonuclease UK114 OS=Rattus norvegicus GN=Hrsp12 PE=1 SV=3 E(blastx)=1e-23
TRINITY_DN34636_c0_g1,Tetratricopeptide repeat protein 13 OS=Homo sapiens GN=TTC13 PE=2 SV=3 E(blastx)=9e-18
TRINITY_DN32644_c0_g1,60S ribosomal protein L4 OS=Urechis caupo GN=RPL4 PE=2 SV=1 E(blastx)=5e-36
TRINITY_DN17519_c0_g1,Intraflagellar transport protein 74 homolog OS=Mus musculus GN=Ift74 PE=1 SV=2 E(blastx)=3e-55
TRINITY_DN18931_c0_g1,Endoglucanase F OS=Clostridium thermocellum (strain ATCC 27405 / DSM 1237 / NBRC 103400 / NCIMB 10682 / NRRL B-4536 / VPI 7372) GN=celF PE=3 SV=1 E(blastx)=2e-08
TRINITY_DN19395_c0_g1,Elongation factor 1-alpha (Fragment) OS=Spodoptera frugiperda PE=1 SV=1 E(blastx)=1e-51
